id,name
12036,血常规
12037,胃镜
12038,心电图
12039,动态心电图
12040,CT检查
12041,热敷
12042,24小时动态心电图
12043,肌电图
12044,针灸
12045,隔离
12046,吸氧
12047,颈动脉彩超
12048,脉搏
12049,视力
12050,脑电图
12051,心电监测
12052,尿常规
12053,心血管造影
12054,胃镜检查
12055,精神分析
12056,胆囊切除术
12057,心理咨询
12058,药罐治疗
12059,动态视野检查
12060,眼压
12061,血红蛋白
12062,激发试验
12063,脑电图检查
12064,肺部检查
12065,心理测试
12066,脑CT检查
12067,肝功能检查
12068,穴位注射治疗
12069,妇科检查
12070,艾灸
12071,睡眠监测
12072,宫腔镜检查
12073,雌激素
12074,针刺
12075,重复经颅磁刺激
12076,便常规
12077,类风湿因子
12078,眼科检查
12079,输血
12080,蜡疗
12081,角膜移植
12082,电针治疗
12083,内分泌检查
12084,肠鸣音
12085,锂治疗
12086,内科检查
12087,腹腔镜
12088,心肺复苏
12089,电休克疗法
12090,呼吸机治疗
12091,胸透
12092,肺大泡切除术
12093,赖氨酸
12094,肺活量
12095,尸检
12096,心脏射频消融术
12097,催眠疗法
12098,甲状腺素
12099,卵磷脂小体
12100,尿比重
12101,孕酮
12102,催乳素
12103,喉镜检查
12104,促甲状腺激素
12105,行为治疗
12106,乳酸
12107,抗精神病药物治疗
12108,肾功能检查
12109,无痛胃镜
12110,腰椎穿刺
12111,新斯的明试验
12112,脂蛋白a
12113,心脏CT检查
12114,痛觉
12115,视力检查
12116,人工授精
12117,睾酮
12118,睡眠脑电图
12119,阴道前后壁修补术
12120,丙氨酸氨基转移酶
12121,碱性磷酸酶
12122,甲状旁腺激素
12123,家庭治疗
12124,耳部检查
12125,根管治疗
12126,骨扫描
12127,雌二醇
12128,血液灌流
12129,血清胰岛素
12130,血液透析
12131,脱敏疗法
12132,电抽搐治疗
12133,过敏原检测
12134,宫腔镜
12135,磁共振平扫
12136,氯氮平治疗
12137,胸主动脉造影
12138,鼻饲
